recorded_at,value_usd,twenty_four_hour_trading_volume_usd,SMA_100,SMA_200,EMA_50,EMA_100,VWAP,OBV,RSI,EMA_12,EMA_26,MACD,MACD_Signal,Bollinger_Mid,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,High_Low,High_Close,Low_Close,True_Range,ATR,Money_Flow_Multiplier,Money_Flow_Volume,CMF,Lowest_Low,Highest_High,%K,%D
2024-05-26 00:00:00+00:00,68772.39772134153,15929396750.116022,,,64581.09221033337,63781.03834440735,65355.32746610378,179996020238.05545,84.55248676079896,67445.70236030013,65751.9704508021,1693.731909498034,1297.5146188708227,65288.08831022041,3210.6750717443874,71709.43845370918,58866.73816673164,0.0,200.78858866530936,200.78858866530936,200.78858866530936,797.4393417685907,,,,61720.93646134093,70267.11122554308,82.51014582029687,81.79148073159804
2024-05-27 00:00:00+00:00,69048.17180535065,11243743771.147913,,,64756.27180229483,63885.338016901274,65424.49857730671,191239764009.20337,83.99666641157827,67692.23612107713,65996.13351410198,1696.1026069751533,1377.232216491689,65581.40444816559,3275.4393102589597,72132.28306868351,59030.52582764767,0.0,275.7740840091137,275.7740840091137,275.7740840091137,769.7430489321529,,,,61984.983436874674,70267.11122554308,85.28229156449166,83.12749040349985
2024-05-28 00:00:00+00:00,68730.90190227017,18983806932.464344,,,64912.13964935269,63981.28977700759,65525.859351449035,172255957076.739,81.14566794233743,67852.03085664529,66198.70895026259,1653.3219063826982,1432.450154469891,65905.43216834536,3249.008475247448,72403.44911884026,59407.41521785047,0.0,317.2699030804797,317.2699030804797,317.2699030804797,773.5446866140622,,,,63556.13820694366,70267.11122554308,77.10899270470445,81.633810029831
2024-05-29 00:00:00+00:00,68420.38006267107,31278122196.184998,,,65049.71770477695,64069.19255494151,65665.03017856755,140977834880.55402,75.41668709190714,67939.46919603387,66363.27718081136,1576.1920152225066,1461.1985266204142,66214.33181908546,3175.2641733807127,72564.86016584688,59863.803472324034,0.0,310.521839599096,310.521839599096,310.521839599096,683.4994772947846,,,,64350.170374482615,70267.11122554308,68.78908866325703,77.0601243108177
2024-05-30 00:00:00+00:00,68088.79811826562,24320692137.62038,,,65168.89732883534,64148.78870471031,65752.37909827883,116657142742.93364,70.52715265216162,67962.44287637722,66491.09354654871,1471.349329828503,1463.228687262032,66531.23304664106,3018.7614462870633,72568.75593921519,60493.71015406694,0.0,331.5819444054505,331.5819444054505,331.5819444054505,650.4673184995341,,,,66178.1737942567,70267.11122554308,46.72667058658909,64.20825065151686
2024-05-31 00:00:00+00:00,67808.23777042823,25344376897.716885,,,65272.400875564475,64221.253042645316,65826.793014032,91312765845.21675,60.7821308644429,67938.71901392352,66588.65978535461,1350.0592285689054,1440.594795523407,66841.41512229845,2796.4284113029316,72434.27194490432,61248.55829969259,0.0,280.56034783739597,280.56034783739597,280.56034783739597,539.9356705040565,,,,66408.8738941596,70267.11122554308,36.26951263173976,50.5950906271953
2024-06-01 00:00:00+00:00,67850.59137981343,19685305476.459476,,,65373.50638553502,64293.121128529834,65882.134070141,110998071321.67622,59.77998791908209,67925.16091636811,66682.13619975897,1243.024716609143,1401.0807797405541,67181.07397740806,2447.7340060352444,72076.54198947854,62285.60596533757,0.0,42.35360938520171,42.35360938520171,42.35360938520171,526.4823497527925,,,,66739.48482501625,70267.11122554308,31.49728538802305,38.164489535450635
2024-06-02 00:00:00+00:00,67639.76605244137,10724053324.55672,,,65462.379313649,64359.39132504293,65907.93307845684,100274017997.1195,56.208007780475526,67881.25401422553,66753.07174440211,1128.1822698234173,1346.501077757127,67477.01545696307,2083.5483784392013,71644.11221384146,63309.918700084665,0.0,210.82532737206202,210.82532737206202,210.82532737206202,517.9262352181789,,,,67639.76605244137,70267.11122554308,0.0,22.588932673254266
2024-06-03 00:00:00+00:00,68084.21233541517,16137350587.750422,,,65565.19629489473,64433.15015693149,65954.96306373498,116411368584.86993,49.08335566379788,67912.47837133163,66851.67475114382,1060.803620187813,1289.3615862432644,67781.9769018901,1635.5997731770883,71053.17644824428,64510.77735553592,0.0,444.44628297380405,444.44628297380405,444.44628297380405,445.45397597688344,,,,67639.76605244137,70267.11122554308,16.916174072747094,16.137819820256713
2024-06-04 00:00:00+00:00,69049.44058496371,29862293749.910686,,,65701.83332587783,64524.56184857569,66073.952752298,146273662334.7806,48.023401185104795,68087.39563496732,67014.47222031566,1072.9234146516683,1246.0739519249453,68056.6420207911,1319.2597346859213,70695.16149016294,65418.122551419256,0.0,965.2282495485415,965.2282495485415,965.2282495485415,436.36986990503647,,,,67639.76605244137,70267.11122554308,53.653952550823554,23.523375541190216
